sample_id,defense,detection_threshold,accepted_after_attack,is_attack_detected,n_squeezers_detected,max_sim_diff,risk_score_add,lr_sim_original,lr_sim_squeezed,lr_sim_diff,lr_detected,cd_sim_original,cd_sim_squeezed,cd_sim_diff,cd_detected,mf_sim_original,mf_sim_squeezed,mf_sim_diff,mf_detected,defense_time_sec
vf_b2ec962e2326,feature_squeezing,0.05,False,True,2,0.15851632,20,0.44046399,0.28194767,0.15851632,True,0.44046399,0.42244333,0.01802066,False,0.44046399,0.36028689,0.0801771,True,0.63206
vf_cc42d41730d5,feature_squeezing,0.05,True,True,2,0.3215217,20,0.59594476,0.27442306,0.3215217,True,0.59594476,0.55508107,0.04086369,False,0.59594476,0.53646982,0.05947495,True,0.44577
vf_8b68c1bd8551,feature_squeezing,0.05,True,True,2,0.28873128,20,0.58052814,0.29179686,0.28873128,True,0.58052814,0.57626784,0.0042603,False,0.58052814,0.52869582,0.05183232,True,0.412281
vf_1580f37c8bca,feature_squeezing,0.05,True,True,1,0.4069653,10,0.56809038,0.16112508,0.4069653,True,0.56809038,0.53646976,0.03162062,False,0.56809038,0.54566324,0.02242714,False,0.361233
vf_5192e29fd3b4,feature_squeezing,0.05,True,True,1,0.36471984,10,0.49430415,0.12958431,0.36471984,True,0.49430415,0.4537077,0.04059646,False,0.49430415,0.46418801,0.03011614,False,0.338629
vf_256d41087135,feature_squeezing,0.05,False,True,3,0.16042411,30,0.47399145,0.31356734,0.16042411,True,0.47399145,0.41771626,0.05627519,True,0.47399145,0.42308617,0.05090529,True,0.361659
vf_75286422bc69,feature_squeezing,0.05,True,True,1,0.41632991,10,0.65036035,0.23403044,0.41632991,True,0.65036035,0.61217862,0.03818172,False,0.65036035,0.61940229,0.03095806,False,0.371955
vf_d0571873a360,feature_squeezing,0.05,True,True,1,0.29868686,10,0.64960194,0.35091507,0.29868686,True,0.64960194,0.6227324,0.02686954,False,0.64960194,0.60892934,0.0406726,False,0.368192
vf_d131f35b4897,feature_squeezing,0.05,True,True,1,0.48252674,10,0.59173751,0.10921077,0.48252674,True,0.59173751,0.55386984,0.03786767,False,0.59173751,0.57175678,0.01998073,False,0.351764
vf_527d834a90c9,feature_squeezing,0.05,True,True,2,0.24997455,20,0.54064083,0.29066628,0.24997455,True,0.54064083,0.51200402,0.02863681,False,0.54064083,0.47679293,0.0638479,True,0.34151
vf_b5a935500105,feature_squeezing,0.05,True,True,2,0.24779013,20,0.55387908,0.30608895,0.24779013,True,0.55387908,0.49671489,0.05716419,True,0.55387908,0.52267122,0.03120786,False,0.358796
vf_de0f6061f493,feature_squeezing,0.05,True,True,2,0.32439648,20,0.49679407,0.1723976,0.32439648,True,0.49679407,0.48971361,0.00708047,False,0.49679407,0.43391624,0.06287783,True,0.403363
vf_6663921a6626,feature_squeezing,0.05,True,True,1,0.11716941,10,0.53202081,0.4148514,0.11716941,True,0.53202081,0.50242531,0.02959549,False,0.53202081,0.50605637,0.02596444,False,0.432549
